Year,Cab,Engine,Wheel Base,Drive Train,FGAWR,GVWR,Rear Wheel,Bed,Trim Pkg,Headlamp,Plow Model,Subframe,Mount Kit,Center Member,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Note 9,Note 10
1980,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1980,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1980,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1980,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1980,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1980,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1981,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1981,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1981,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1981,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1981,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1981,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1982,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1982,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1982,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1982,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1982,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1982,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1983,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1983,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
